0
0,01
True
0 8,78095328751064
0,81 6,24337910499581
0,82 -4,06126200876257
0,83 -9,30981943351674
0,84 5,91663995567553
0,85 0,841027568486066
0,86 -9,13420661312258
0,87 -6,44863898700505
0,88 -7,30989048132202
0,89 6,30873085759055
0,9 9,05308687084032
0,91 -3,04037872377801
0,92 -6,20669138441174
0,93 2,76979058644259
0,94 7,9176870351274
0,95 -9,47917322603947
0,96 -0,0363420555537299
0,97 3,0172209129749
0,98 -9,23481390775871
0,99 -0,70561942211614
1 -4,75832077430483
1,01 -2,91176051502664
1,02 -4,24830990575641
1,03 8,17983757619739
1,04 -6,06478186140991
1,05 9,73782090457986
1,06 -1,25703502039287
1,07 -6,0349012613459
1,08 4,90052954056325
1,09 -6,97742424764551
1,1 0,448746332176377
1,11 5,02235897584928
1,12 -9,07038604797348
1,13 -4,78181262257593
1,14 5,54141842552527
1,15 -0,657786694661615
1,16 -5,83273688137193
1,17 -6,63193536765498
1,18 0,0390920555401095
1,19 2,51908016042741
1,2 3,64328383172084
1,21 3,15161049047094
1,22 -4,55342429436437
1,23 -9,76395931083893
1,24 -0,940753757460394
1,25 -0,948022646339622
1,26 -1,0462838649034
1,27 8,92481727475525
1,28 8,33591198471184
1,29 -4,10333089255883
1,3 -4,51491278340803
1,31 -8,33759389740303
1,32 2,35396184602471
1,33 -5,88005187729376
1,34 6,81455156617544
1,35 8,53601915693656
1,36 0,491689010752221
1,37 -2,24109958495996
1,38 6,75496242789317
1,39 6,17881905109567
1,4 -7,90193741112106
1,41 6,90069464822332
1,42 -1,3491685275683
1,43 9,66753376632348
1,44 -4,14001547458582
1,45 -5,96927210500896
1,46 -3,96999267580453
1,47 8,57512123816419
1,48 7,22837216091732
1,49 -1,42452627021099
1,5 6,35356365533246
1,51 -3,40440668789875
1,52 -7,02187114256521
1,53 -1,75389406818612
1,54 5,65109674616302
1,55 2,09006873522423
1,56 -8,35833622066227
1,57 -4,48435059491748
1,58 -0,879408666342222
1,59 4,88324078492971
1,6 0,784104769483259
1,61 -0,181852295148117
1,62 -4,37081324605775
1,63 -0,996139566877922
1,64 7,53748853576253
1,65 -1,21365977042059
1,66 -7,33160287017543
1,67 6,80966582932028
1,68 -1,59636418875138
1,69 7,0053992685887
1,7 8,85052429458617
1,71 6,40836270358803
1,72 -3,38689779554815
1,73 3,86027300444444
1,74 0,421017571548475
1,75 6,74258918349751
1,76 -5,49922098196075
1,77 -4,22095806068785
1,78 4,37605616374689
1,79 -4,97148165245144
1,8 -6,97802997053509
1,81 0,378594896932409
1,82 -8,30355488616207
1,83 -0,239561745077166
1,84 -0,456894547891288
1,85 8,88949390449072
1,86 8,68427724516219
1,87 -5,89214408578917
1,88 -1,53114862345678
1,89 -5,27551716904879
1,9 6,89435537759883
1,91 -5,0239603943303
1,92 8,63830908138226
1,93 -8,12827835703654
1,94 -4,60528571838759
1,95 2,27991488402705
1,96 1,27150789428107
1,97 9,64697103930962
1,98 -7,86995476943904
1,99 7,07364429583477
2 -8,63766923483353
2,01 -0,779658505124811
2,02 0,17148542691557
2,03 -9,77702710767138
2,04 -0,275050564797153
2,05 9,94520095174443
2,06 9,9824911076494
2,07 -0,882144147009656
2,08 7,8250883602654
2,09 8,90850756266551
2,1 -2,41071028281502
2,11 5,86262184002559
2,12 1,13959324133564
2,13 -5,90792701389078
2,14 1,8612707554648
2,15 -9,59449012744915
2,16 -1,87829740898604
2,17 5,86874849901942
2,18 9,46075498101337
2,19 8,64799463127181
2,2 0,102062984417222
2,21 8,56054121561374
2,22 -1,65918554722294
2,23 -6,32084701970259
2,24 -9,88895610901013
2,25 3,87448468891647
2,26 7,77005362220577
2,27 -5,25861943851161
2,28 -1,53444127716796
2,29 8,14110268752142
2,3 -4,52891871078355
2,31 -5,14619202127037
2,32 -6,35100329124881
2,33 7,30241186791212
2,34 -6,33381241761791
2,35 3,80162853458972
2,36 -9,79289052998316
2,37 -8,52652777849069
2,38 -9,96451118028001
2,39 -0,402095499635719
2,4 8,90700279684132
2,41 -0,43357860782816
2,42 -3,71723244605457
2,43 -0,439656186122287
2,44 7,13519311376623
2,45 -8,96826646242676
2,46 3,83644636433406
2,47 4,54623609527305
2,48 0,0104508874986564
2,49 -5,01079559093844
2,5 -5,8417877069869
2,51 5,40275939526165
2,52 -9,81378394170375
2,53 -6,51794940071085
2,54 -3,02841868858245
2,55 -7,19821045044726
2,56 -9,12047295790188
2,57 -3,50766755338184
2,58 -9,88807099866125
2,59 5,85046474628638
2,6 -7,82485267046134
2,61 5,24111054616101
2,62 -9,34770286984169
2,63 9,68398567274398
2,64 3,43742627344906
2,65 -7,26451826154465
2,66 2,2136251312744
2,67 3,83718137342352
2,68 -9,57411459627287
2,69 8,05964222087508
2,7 -9,80159959746599
2,71 -3,35176963049535
2,72 5,83325967929943
2,73 -0,137149519350915
2,74 9,74099183443048
2,75 -9,46435840775462
2,76 2,27777366166831
2,77 8,78047063889935
2,78 -3,45604013346883
2,79 9,07931035341663
2,8 -9,96196167541759
2,81 -6,77618247306728
2,82 4,73092967398974
2,83 -6,52364568622953
2,84 3,98289039450832
2,85 0,0683218939547992
2,86 -5,33240807956662
2,87 -9,83305389053796
2,88 0,33083055649457
2,89 -9,13560196717065
2,9 2,9221014924916
2,91 3,71477702339868
2,92 -8,63845677982944
2,93 -5,81497592656639
2,94 -2,57724282917438
2,95 -6,33410774931969
2,96 -1,08587573798647
2,97 -3,40121811879856
2,98 6,12291754042866
2,99 4,39971137531088
3 -1,18189159370116
3,01 9,99926499091055
3,02 4,12035069154592
3,03 1,95080866662357
3,04 -5,20919599347245
3,05 7,50998192350845
3,06 9,56949971596222
3,07 0,323365577647168
3,08 -6,25894123514134
3,09 -3,56406028082783
3,1 0,524015887884431
3,11 -7,90094359680123
3,12 9,94837258008699
3,13 -8,96738135207788
3,14 5,81242642170397
3,15 8,95132980260594
3,16 -9,48981912782873
3,17 7,17594281638783
3,18 -4,29890472176434
3,19 -6,63089562050574
3,2 8,06788981802197
3,21 2,04667902181236
3,22 -6,49364918307105
3,23 9,56148737089778
3,24 -4,86245927161652
3,25 -3,51637662086467
3,26 -4,71331285066591
3,27 1,64823560586583
3,28 -7,55990669017653
3,29 6,07509958375017
3,3 1,62151733023185
3,31 -4,32100821953314
3,32 -7,3424469015293
3,33 2,14424849122029
3,34 0,261201947117783
3,35 -9,96122666632814
3,36 -0,896533164613198
3,37 -7,21987899263384
3,38 8,68555030724292
3,39 6,47290847099987
3,4 0,498822177992587
3,41 4,34422634278621
3,42 6,42588734460337
3,43 -6,1051091626776
3,44 0,34038214494492
3,45 0,823045089292826
3,46 3,76640444331169
3,47 -9,67107542775156
3,48 -1,62740234827036
3,49 -1,52857263178032
3,5 -6,84428862149096
3,51 1,7381814456257
3,52 -9,10231339703422
3,53 2,7538131609344
3,54 6,3318215572889
3,55 6,77142938448648
3,56 6,4929141739816
3,57 4,55886332064814
3,58 -3,18673206175991
3,59 8,30718062739222
3,6 2,22329477417436
3,61 -2,07873588990361
3,62 -2,1167277321763
3,63 -2,33404081889151
3,64 4,81442238894032
3,65 -5,15497589258243
3,66 9,44150330472808
3,67 -2,19587591113331
3,68 0,771416700804334
3,69 5,77365308803211
3,7 -0,15213703278086
3,71 7,73005986480511
3,72 8,49039250914491
3,73 -0,77181319276421
3,74 2,87028220150167
3,75 -6,27633652476423
3,76 5,62079167720898
3,77 9,61145997960654
3,78 -0,778894774047142
3,79 4,31449563909066
3,8 2,71721893582363
3,81 -5,04223742291435
3,82 -6,72436204586381
3,83 3,96866594160379
3,84 2,91938820524113
3,85 9,88333588460616
3,86 -5,21869482249892
3,87 -0,0962600624637027
3,88 5,81242693393138
3,89 3,4897725626313
3,9 -6,45414084030974
3,91 4,54460351473866
3,92 5,96685306912607
3,93 -9,6216303201493
3,94 -5,75038630317449
3,95 -7,4224419321038
3,96 -3,53904592503749
3,97 -1,24007183650512
3,98 -0,91953155161791
3,99 -4,50464196247265
4 1,38154178456475
4,01 -4,037719645555
4,02 -0,442492128555893
4,03 2,59894456369753
4,04 8,62356440100054
4,05 -4,57434848629606
4,06 3,24778893648078
4,07 1,66949979572999
4,08 9,88353095943273
4,09 2,60815808205314
4,1 -8,8493622927225
4,11 6,88145419437506
4,12 -4,66224190530472
4,13 2,49877229914943
4,14 -4,41003830843141
4,15 -2,73446780291128
4,16 -5,3543738440398
4,17 3,91460632621991
4,18 4,74657097586737
4,19 4,93108650433416
4,2 -9,93628107008351
4,21 -0,462236632808221
4,22 1,99169715493531
4,23 7,28164413817303
4,24 2,22779392834184
4,25 5,30325945248048
4,26 -8,23679320432096
4,27 8,11202282929422
4,28 -5,02142688958972
4,29 0,292724133605475
4,3 7,26270940027326
4,31 -3,13913648628589
4,32 0,530991531224451
4,33 -6,2742528115745
4,34 -7,06704614547409
4,35 -3,24506141862136
4,36 5,40025470564154
4,37 0,676693390438656
4,38 5,34510154060326
4,39 -2,50626330846281
4,4 -3,36445305187462
4,41 3,11180538177109
4,42 0,0202089781035717
4,43 -6,79573114812175
4,44 2,3391348553538
4,45 -3,3355950346848
4,46 -0,793154579956623
4,47 -6,53191923002336
4,48 4,78840798828211
4,49 6,9840814997368
4,5 7,931931911936
4,51 2,5463477487426
4,52 4,01335718762752
4,53 4,14938194404793
4,54 -4,56836089238914
4,55 -8,15622158262703
4,56 3,97058319950969
4,57 2,27586373327107
4,58 -9,62884936464431
4,59 -6,67969505147994
4,6 -6,3375552819751
4,61 5,13576610718657
4,62 -3,30907331468029
4,63 -0,409193174172749
4,64 5,34544868177988
4,65 4,28977419356339
4,66 -3,64953733684939
4,67 -8,38798909373022
4,68 -0,434181555376473
4,69 8,83502311018995
4,7 1,86527749144718
4,71 3,96893276552154
4,72 8,56950478561665
4,73 -2,74716571566982
4,74 -1,70446044379122
4,75 -3,0480864518546
4,76 9,51755438908821
4,77 -1,21257169694294
4,78 -5,05749071718077
4,79 -4,43661103697336
4,8 -3,9035859675629
4,81 8,2951260257024
4,82 -6,6763851589879
4,83 -2,00550838932651
4,84 2,36079222166948
4,85 -5,28363834846934
4,86 2,84750632608659
4,87 6,38160958717652
4,88 8,29410808081465
4,89 -8,91082456284707
4,9 2,78435538186895
4,91 -6,87560902762954
4,92 0,305542755082968
4,93 2,0247965920832
4,94 -6,16870802648771
4,95 1,49978084093881
4,96 -3,57912130354863
4,97 -9,57059784772368
4,98 -2,14117982990163
4,99 8,04936066179041
5 -9,68605769783541
5,01 -2,4051654862264
5,02 3,90226232535311
5,03 5,95338487809216
5,04 -4,88119599171038
5,05 -6,03700085358555
5,06 3,97684296312595
5,07 -3,23947709670266
5,08 -4,14615761216085
5,09 8,47972555946546
5,1 -7,67377597171523
5,11 -4,81684510354737
5,12 -2,66664554954816
5,13 4,80776167232905
5,14 7,22389091608296
5,15 -4,6326813076775
5,16 1,81215126617446
5,17 8,69643507464623
5,18 7,23001460415777
5,19 0,629087030249222
5,2 -8,5577321325232
5,21 -0,0311469240259132
5,22 -6,68209717454486
5,23 -1,52335699252941
5,24 -3,94933227167899
5,25 -1,25911348092328
5,26 -6,33660998956143
5,27 -3,45529180646655
5,28 -6,57845768918211
5,29 6,79575871526998
5,3 -9,46896514830597
5,31 9,08815223681189
5,32 -9,0713918670413
5,33 -3,10685137897118
5,34 -4,75055333913795
5,35 8,5015795186635
5,36 -5,60713629965071
5,37 -2,62977003708006
5,38 -7,12431239761613
5,39 -1,60220692474498
5,4 0,739518688404708
5,41 -3,91301657721075
5,42 0,527767199337374
5,43 9,81438252134918
5,44 8,76295140886817
5,45 -2,39879951458368
5,46 5,79103652191862
5,47 5,49778108275392
5,48 4,80090567600024
5,49 8,46397328118979
5,5 9,68762957476435
5,51 -2,27555637819486
5,52 -6,80061245188146
5,53 7,22973313984915
5,54 6,6070927943136
5,55 0,345089226190506
5,56 -5,72306831168154
5,57 -4,57438068211748
5,58 -0,0972828502288472
5,59 6,3779174892129
5,6 -9,70039086402412
5,61 -2,5678652304075
5,62 -6,66101940752054
5,63 -0,941916327430828
5,64 7,94869070777143
5,65 -6,76192820852712
5,66 -5,74545323650607
5,67 -9,55979417057698
5,68 -0,441684988533
5,69 8,72231139741946
5,7 -9,02554500802678
5,71 -5,55807869674548
5,72 5,82074747226236
5,73 -1,16777847109725
5,74 9,88956834184452
5,75 5,35528444468756
5,76 9,44108587663671
5,77 -6,49647969589405
5,78 -0,286308401397573
5,79 8,44946724290469
5,8 2,94984999715809
5,81 -1,83439107231534
5,82 1,74380251753321
5,83 -5,0424309703719
5,84 7,10812914050563
5,85 2,80659122988889
5,86 5,88876468869334
5,87 -6,30112500689045
5,88 0,28605582671522
5,89 4,90435743467154
5,9 4,22464783034504
5,91 8,96724438246677
5,92 7,46751281314879
5,93 -3,50222988682903
5,94 -1,90181606072086
5,95 -6,69261608118779
5,96 -7,25199716969021
5,97 -8,5303164732318
5,98 -8,13430818642225
5,99 5,52487961739529
6 -6,65334627807762
6,01 5,35083069249561
6,02 -4,06053392871308
6,03 6,07859427858079
6,04 7,48951828921657
6,05 5,24570827150983
6,06 1,90369614954279
6,07 4,36716601921579
6,08 7,34016479800463
6,09 -8,74819165037395
6,1 0,904003349553795
6,11 -9,22658861578749
6,12 5,71192771928009
6,13 1,45324990686646
6,14 -6,57193250794519
6,15 2,13400020829122
6,16 5,68833225205929
6,17 8,38141156285135
6,18 1,94995453206355
6,19 -4,85790052211746
6,2 -2,65069289722046
6,21 -9,44432822961562
6,22 0,154150002707798
6,23 4,65395757679546
6,24 -5,50233643292558
6,25 -7,99278939049355
6,26 -3,02559150989428
6,27 -0,677022640908614
6,28 -9,26596241037639
6,29 6,5821844230323
6,3 2,60728161437776
6,31 7,97140234986851
6,32 -8,3621715094718
6,33 4,18881198120714
6,34 5,10281352098231
6,35 7,59901930466249
6,36 -7,77385714360227
6,37 5,66520823895242
6,38 -2,53194925958847
6,39 -8,13757913100421
6,4 -9,0971049196539
6,41 -8,47840133052245
6,42 -3,64128980489508
6,43 -0,965752522910829
6,44 -5,99964591488226
6,45 3,45123644613253
6,46 -6,74468333681332
6,47 -3,98573709371767
6,48 -6,93029737888384
6,49 5,96418373098792
6,5 -2,38094833324707
6,51 -5,63340873254156
6,52 -0,480271005295343
6,53 6,72359233569521
6,54 -1,82442748538424
6,55 -7,209018048462
6,56 -4,80331931021219
6,57 1,28550849449146
6,58 1,58093071150637
6,59 5,48230767971012
6,6 -1,72870021859589
6,61 -7,4192812095486
6,62 3,63312842959218
6,63 -9,24201962502767
6,64 -1,35547326475171
6,65 2,93260099968528
6,66 9,13558289368431
6,67 -8,47688426192705
6,68 6,35043638588415
6,69 -4,17095181260768
6,7 -0,0921426481065062
6,71 -9,97687598689314
6,72 0,913360822439827
6,73 0,0875336630677488
6,74 -5,76079560246356
6,75 -4,17229156669802
6,76 4,19696157527946
6,77 -8,88009747438137
6,78 0,653603491677719
6,79 1,04642712094189
6,8 8,75189394631977
6,81 -9,03985441617661
6,82 -3,74672526202478
6,83 -5,23014614136431
6,84 -1,03686724372062
6,85 -1,75930965308068
6,86 -1,54832664483614
6,87 -5,08576384516701
6,88 -3,98676053340862
6,89 2,31183156944431
6,9 2,40233861487468
6,91 0,940634361906271
6,92 -5,91572247255394
6,93 1,98574306070141
6,94 3,59112108759169
6,95 8,3221762898947
6,96 -2,11152976011463
6,97 -4,39927017986741
6,98 -9,61027925815912
6,99 1,06775308543246
7 4,31565355244821
7,01 -8,26779907488627
7,02 -0,336173479601822
7,03 7,24065443372384
7,04 -3,94367362090558
7,05 -2,40407234635394
7,06 3,45323044501861
7,07 9,43219533163691
7,08 2,48438793815877
7,09 -7,65213591868623
7,1 -1,40597962374146
7,11 -5,92322183583082
7,12 -9,36809499718626
7,13 -9,46549640943552
7,14 6,73041373339035
7,15 -2,68884580241928
7,16 6,32744405247618
7,17 -1,13672542904351
7,18 1,79484761869295
7,19 -9,59616361167103
7,2 -5,51907235547857
7,21 4,22134673885133
7,22 5,50987627148157
7,23 -5,96139518356016
7,24 3,42670957251764
7,25 8,96722298998722
7,26 5,9388464856608
7,27 8,92761776173842
7,28 6,49641257547606
7,29 -4,08297189235826
7,3 7,93923819341661
7,31 -1,40376824485313
7,32 -9,26981821622225
7,33 9,58585040624526
7,34 6,73077356849367
7,35 7,01969302120604
7,36 1,29631906342521
7,37 -0,987379695748622
7,38 8,71352747954127
7,39 -8,63279489736668
7,4 4,78745990190071
7,41 -0,980521976473053
7,42 2,42984821667422
7,43 -6,33462461472239
7,44 -6,28218880681423
7,45 -1,6744395492945
7,46 0,30872935909253
7,47 -6,45022606311842
7,48 5,25532932731105
7,49 -3,72003310998903
7,5 -8,00526776258148
7,51 9,02519566892888
7,52 3,80588220143965
7,53 9,98588435351191
7,54 -3,41317455908897
7,55 -9,90569318640311
7,56 -3,77767534636784
7,57 -4,37477829604167
7,58 -6,1860551387938
7,59 -2,9108966108928
7,6 1,65708116798526
7,61 4,52561268328019
7,62 -7,06421724383916
7,63 -3,43264016948298
7,64 -5,59137411210284
7,65 9,99778862111167
7,66 -6,65340361960856
7,67 -8,95394540343152
7,68 -6,1962699779292
7,69 9,71072071218431
7,7 6,0148351341555
7,71 -2,6851762517752
7,72 0,14974709141522
7,73 0,427642516059635
7,74 -4,38362351357174
7,75 5,46144962099448
7,76 -8,20850147782289
7,77 1,84450088620395
7,78 -9,67920637674593
7,79 -4,89885087818785
7,8 -1,34150636910531
7,81 2,38907254877923
7,82 -6,32771156557263
7,83 0,216445685465096
7,84 -6,07770412977678
7,85 8,91404252448773
7,86 4,79034955370722
7,87 -9,25570256973417
7,88 2,99902496533423
7,89 6,63646675489678
7,9 0,797368367573883
7,91 -4,32890264053312
7,92 -4,80132455695482
7,93 1,62442409043406
7,94 -0,289876065351942
7,95 -9,73815278137948
7,96 -3,9163047326339
7,97 -4,1375116138428
7,98 9,25674949738046
7,99 -6,2799774279259
8 -5,02103592968594
8,01 -0,737325237475954
8,02 9,74604391481078
8,03 5,54460861512674
8,04 0,26513175585546
8,05 4,67990848919372
8,06 -1,12455142248634
8,07 -6,62176031461999
8,08 4,36950786708366
8,09 1,12537581991655
8,1 8,30280829141979
8,11 4,3778237674282
8,12 -4,69557191929574
8,13 8,71279573939405
8,14 8,43060975821252
8,15 9,26800861920603
8,16 0,853324248852825
8,17 2,71933707069575
8,18 -7,3549360397062
8,19 -4,50541663659057
8,2 -4,79256093259554
8,21 -7,3977010498744
8,22 -1,95297036876575
8,23 -2,83273673282598
8,24 -1,08664765538957
8,25 0,343737774688629
8,26 -7,88385169482038
8,27 8,52532300098116
8,28 -9,28248141858842
8,29 -4,64547073219226
8,3 -0,622245646371621
8,31 5,92901013601991
8,32 2,5877513888235
8,33 6,60077105117998
8,34 -9,87781494850191
8,35 9,39581886837064
8,36 2,64302863396845
8,37 -1,87232018069938
8,38 9,95131392960964
8,39 -0,757612618970505
8,4 0,0385939469740713
8,41 1,41210986832721
8,42 -3,62521043681782
8,43 -8,12635085458232
8,44 8,333658463477
8,45 6,41954460014568
8,46 -9,63333072123739
8,47 -3,51412029634887
8,48 3,19381433222155
8,49 0,442115315442027
8,5 -0,591477030232305
8,51 3,36435819667036
8,52 -6,78257557413661
8,53 3,76216613397103
8,54 8,51258350466964
8,55 -7,62333487981154
8,56 -8,78435486871021
8,57 2,57878064763675
8,58 -3,36874372948368
8,59 9,92139398116683
8,6 2,5637601840141
8,61 0,350125576532506
8,62 -7,33927889603157
8,63 -0,985021400724083
8,64 -8,25237853371183
8,65 -7,62620184460012
8,66 -8,20992762139529
8,67 -1,29634297047572
8,68 8,59061068789596
8,69 9,03479088984187
8,7 -3,37502001476242
8,71 -7,2743555704478
8,72 2,76802314108611
8,73 3,40267657926431
8,74 5,45598941643536
8,75 3,79532919907725
8,76 6,22750938694342
8,77 -3,82661951418343
8,78 -1,16639519630298
8,79 2,49380774446475
8,8 -0,0229315040739859
8,81 5,63026860152849
8,82 -4,66849133124039
8,83 0,275403265969549
8,84 5,94600629804004
8,85 6,01339615695802
8,86 2,71158571015652
8,87 8,82558525485247
8,88 8,08818754651034
8,89 7,74551993130963
8,9 8,18017373708085
8,91 -9,9357520136683
8,92 -8,5035764512157
8,93 -9,9700800515572
8,94 6,67862719701539
8,95 9,68846837044157
8,96 -1,24861123564123
8,97 7,35981096390626
8,98 -9,87397232087048
8,99 5,95986030807712
9 4,62947222154097
9,01 1,66301224923833
9,02 -2,10473098424484
9,03 4,15902344237967
9,04 -6,18286466979555
9,05 -3,31712145978451
9,06 -9,40366494441576
9,07 -0,185252153400914
9,08 8,30617671753568
9,09 -5,28274569440761
9,1 -3,85084426675497
9,11 5,04226464547322
9,12 -6,25482415606027
9,13 4,13744852605157
9,14 -0,0556745147591808
9,15 6,93349158248561
9,16 -4,98138309222711
9,17 2,38531783799888
9,18 3,06897230123587
9,19 -4,26577469066986
9,2 -0,337787554756639
9,21 -7,03551287624776
9,22 0,615469483013948
9,23 -9,15490924341367
9,24 -9,14538284723898
9,25 -3,43926800109412
9,26 -8,7707791192321
9,27 2,73810319264331
9,28 6,72404938224891
9,29 5,76752104599379
9,3 -4,95605956528152
9,31 8,86769842303717
9,32 -3,95264719331295
9,33 2,8737444956199
9,34 7,86433552292377
9,35 8,31405624668768
9,36 -2,26500041422667
9,37 1,17248522637993
9,38 -3,5417320642349
9,39 -0,736872242175449
9,4 5,41706110137378
9,41 -7,10316213644257
9,42 -9,48059146268321
9,43 3,37093324091795
9,44 1,5963641980646
9,45 -6,86209090839237
9,46 6,31907214239196
9,47 -2,64102497726727
9,48 0,0855944632019821
9,49 9,74513561452978
9,5 4,66985146266867
9,51 6,36607092635989
9,52 -5,70916133732962
9,53 4,39180236979937
9,54 -3,70235213716624
9,55 1,66498509778873
9,56 -8,95245723377562
9,57 -2,94982174083117
9,58 3,30440628961865
9,59 7,25640333129857
9,6 -4,54634234055241
9,61 -2,14176813705907
9,62 3,09069846435017
9,63 -7,46134432845812
9,64 9,67331387087392
9,65 -2,71854268979213
9,66 -1,00508816121383
9,67 0,871431348319831
9,68 6,27311300312779
9,69 1,63026923855313
9,7 -0,80150800328772
9,71 3,84613168139296
9,72 -4,07295009776622
9,73 -6,19415545658868
9,74 0,317164207956363
9,75 -3,23462541831407
9,76 -7,55492141356455
9,77 7,244536242096
9,78 -0,751273441478272
9,79 7,7167080611534
9,8 0,241659856513916
9,81 3,87024585803516
9,82 -7,34749127055867
9,83 6,97891376771913
9,84 -8,90233041667488
9,85 -1,32213049164141
9,86 4,57685976036678
9,87 1,65555043688768
9,88 -3,42390336721386
9,89 -3,80064957486496
9,9 7,2665134804633
9,91 -9,3151786733955
9,92 7,86807893676128
9,93 -0,798135395533468
9,94 -6,19052990162304
9,95 -2,44117076156715
9,96 -0,193860600792737
9,97 7,98075286577491
9,98 3,69761937004403
9,99 -5,68509311214327
10 4,14299725282145
