0
0,01
True
0 -3,96151902804222
1,93 4,91946494901528
1,94 -9,98776523395803
1,95 -0,171439773482941
1,96 -0,996706854084836
1,97 -7,03735113005962
1,98 -4,93231822500579
1,99 5,79652694789531
2 -2,71744272332519
2,01 -0,944864876076982
2,02 -1,59503641146935
2,03 -0,59125402504171
2,04 -8,12006938183684
2,05 -8,76255746873215
2,06 -1,38270253845616
2,07 -9,74926358077175
2,08 4,79818620476787
2,09 -5,28114627827012
2,1 -0,555219003257911
2,11 4,45911880324554
2,12 5,10507164295068
2,13 -1,25027131813125
2,14 9,1185997236141
2,15 7,42825435354759
2,16 0,454263254280324
2,17 9,97587897813687
2,18 -1,83995275378225
2,19 6,19958663182314
2,2 -1,32398686899058
2,21 7,50218822504496
2,22 -4,21549092708877
2,23 -9,2320588320643
2,24 6,09849013206479
2,25 -8,47394802536534
2,26 -2,76521834207942
2,27 -5,60682446491291
2,28 -8,56775836952392
2,29 3,83088143255137
2,3 -1,16905279046346
2,31 -2,92945436804064
2,32 9,1676783650963
2,33 0,973727233230008
2,34 -3,63219588698456
2,35 6,58726474111307
2,36 5,6596509253884
2,37 -4,20141520639947
2,38 3,78112664156646
2,39 -8,80547163952397
2,4 -7,3580784617728
2,41 0,553682348948756
2,42 5,50424594222766
2,43 3,27677612811177
2,44 -3,50507701444676
2,45 5,73608567739655
2,46 -4,09798715920094
2,47 6,24305719334775
2,48 5,80086522540118
2,49 -7,41601958750562
2,5 9,37429697223673
2,51 -0,972585832221707
2,52 4,80260162372263
2,53 -1,13190485682893
2,54 -2,87948618311411
2,55 -0,219630948370151
2,56 -6,72937394898821
2,57 -2,36297757940506
2,58 3,3102558428935
2,59 -9,6461213564715
2,6 4,00266087334727
2,61 -5,77587807354325
2,62 8,81849478875217
2,63 -9,0326952277835
2,64 5,88790651219334
2,65 -7,62576463521727
2,66 5,29144043814924
2,67 -5,86865559027933
2,68 -7,61807543114669
2,69 -7,46866501749897
2,7 -8,23139657184081
2,71 -5,3443215393202
2,72 -3,80524766342959
2,73 -3,03448111425828
2,74 3,55766509359594
2,75 8,12233078206066
2,76 -8,0020577171827
2,77 2,50773294479946
2,78 4,27301818238246
2,79 -9,63759554533176
2,8 5,6240391338356
2,81 0,991724464572838
2,82 -1,40768969031409
2,83 8,8482612179817
2,84 4,45658446031464
2,85 9,80353304175825
2,86 2,26794400823673
2,87 0,299583221925229
2,88 -6,14678658365588
2,89 6,58743506138559
2,9 3,31663869010128
2,91 -1,97737149520655
2,92 2,48832895070702
2,93 3,42724799803796
2,94 -2,80813251287124
2,95 8,41779961177046
2,96 1,73518756019659
2,97 4,53694117001115
2,98 7,38886961591843
2,99 -5,87931237922949
3 -9,55535476075269
3,01 -8,22933156892161
3,02 3,86113262449444
3,03 3,26953024290015
3,04 -9,18462301566481
3,05 4,71861851155694
3,06 -7,16733816879212
3,07 -2,16291726201908
3,08 5,31043004957514
3,09 -1,00181696517478
3,1 -2,21757323118745
3,11 0,762893106212324
3,12 3,36400423821248
3,13 2,94785138822526
3,14 -5,2701604903071
3,15 -6,98906359122557
3,16 5,63181161677083
3,17 9,97023357077047
3,18 -3,48927968809813
3,19 6,08437347043509
3,2 0,106291356546009
3,21 -5,00814278377599
3,22 -9,72186900662345
3,23 -4,20551049253229
3,24 -0,785303707600246
3,25 3,74597492336574
3,26 2,16734950997278
3,27 2,76750433853246
3,28 9,77365139861296
3,29 5,13986548182548
3,3 -3,61285677813592
3,31 -2,53899888719385
3,32 5,11886332888103
3,33 0,152330561611954
3,34 9,91775921542093
3,35 3,85337070275721
3,36 7,1305918400784
3,37 5,32278006678577
3,38 8,03288423364651
3,39 9,7379659487577
3,4 6,97087121055036
3,41 -5,56913872974419
3,42 4,98915317235009
3,43 4,8550303815189
3,44 -1,19499170742696
3,45 -7,44625441611104
3,46 4,65862426658097
3,47 9,54047756248176
3,48 -1,30259151165494
3,49 -5,81906892164567
3,5 -7,21401200500038
3,51 1,76495398942612
3,52 -1,97377914189071
3,53 -8,69550385451666
3,54 4,0143962642245
3,55 5,4527880230233
3,56 -8,50746256229815
3,57 -1,93335688297327
3,58 -5,94516604949961
3,59 -2,93059793903055
3,6 -7,44873099841584
3,61 0,0651574926754268
3,62 -1,93656866063204
3,63 -9,82943543225035
3,64 -7,38896018703885
3,65 -9,6785743439936
3,66 5,64402977733129
3,67 -6,78832632339947
3,68 3,03009217280433
3,69 0,876468806935693
3,7 -4,11965543130397
3,71 -9,69096845001493
3,72 -8,06265066287604
3,73 -3,22724563685583
3,74 9,11350225988473
3,75 -4,3245699137098
3,76 0,00270404387391388
3,77 -4,57689938814235
3,78 6,98948121489467
3,79 -3,3390492914892
3,8 9,08735065678477
3,81 2,62687194749102
3,82 -5,9299041498126
3,83 5,59272032025862
3,84 2,35387748682586
3,85 4,62218923243796
3,86 9,43478025469686
3,87 3,8143671833977
3,88 6,13793429738746
3,89 -5,53502880760237
3,9 2,36083326505536
3,91 -0,936051276948326
3,92 1,26794611628537
3,93 0,963482172677052
3,94 7,18669694717354
3,95 -3,09428628212506
3,96 6,36742993088785
3,97 4,81858860460044
3,98 2,24399056855775
3,99 -1,51641736343336
4 -3,09028419344234
4,01 1,44695058998044
4,02 -3,48961461032257
4,03 7,82093968140936
4,04 8,3005865096583
4,05 -7,52304355498545
4,06 -0,172395347697844
4,07 -8,74653350503488
4,08 -7,80900611440139
4,09 -1,6610338220657
4,1 -4,54991602085061
4,11 6,0694368258442
4,12 1,07716190213205
4,13 7,3938832419896
4,14 -2,01794859581531
4,15 -0,0756029459068568
4,16 -4,00493835751197
4,17 2,47071101910933
4,18 -2,18331291907621
4,19 -2,01114941947681
4,2 -9,11335459869045
4,21 -8,1703374060664
4,22 -2,92626062078693
4,23 -1,4348790195933
4,24 8,51563554188033
4,25 6,81639584564436
4,26 -0,958914566300304
4,27 0,973867164446911
4,28 -0,413942584029371
4,29 2,20778854200979
4,3 -0,691999844597653
4,31 5,18411543927347
4,32 3,1791100432999
4,33 -1,49410142167197
4,34 9,75123490195313
4,35 -2,35959993319567
4,36 -3,88351344218641
4,37 -3,75084383122197
4,38 7,29213381060033
4,39 -0,123078958188685
4,4 -5,2054154198642
4,41 8,18131375973174
4,42 1,62337329779909
4,43 -2,20103188054684
4,44 9,01488721324824
4,45 6,29139643921116
4,46 7,98678682091962
4,47 3,87406287429578
4,48 -7,01856923150763
4,49 -2,7377001069196
4,5 -9,08934792461309
4,51 -6,10328108822148
4,52 -2,99809847632335
4,53 -5,74486001196544
4,54 -2,40306276474291
4,55 -4,91994678737593
4,56 -5,62678878923263
4,57 7,94526440927073
4,58 9,30530413952903
4,59 -8,51580933598606
4,6 3,43587101131485
4,61 8,85373748785524
4,62 1,66740907899449
4,63 -0,0167946564111823
4,64 9,03096602253195
4,65 0,265968539875917
4,66 -7,1096732174557
4,67 -7,42873667619598
4,68 7,64264834003647
4,69 -9,65834866261964
4,7 -6,19208950372044
4,71 9,74590547371
4,72 5,178577208509
4,73 7,93976603911247
4,74 -6,80573399961262
4,75 -7,2946683584222
4,76 0,206289296134511
4,77 9,27477125975991
4,78 -0,44976623284154
4,79 -7,77576089733083
4,8 8,82960902472474
4,81 5,16702255940392
4,82 -2,00756360404546
4,83 -7,67624247710977
4,84 1,29713646662288
4,85 -4,58871875637617
4,86 -1,81778608440318
4,87 -1,07602994473466
4,88 -9,09103865692906
4,89 4,67118168932906
4,9 -6,73281114396304
4,91 -1,82877785145714
4,92 -3,056147970751
4,93 5,80794314658639
4,94 6,44105003049646
4,95 -4,05915290771944
4,96 -3,48609531926275
4,97 -8,35983204578973
4,98 -1,23199790307879
4,99 -1,25108132662768
5 3,40106965666687
5,01 5,4155234971156
5,02 6,23141453425932
5,03 -7,36022056888799
5,04 -6,54561060319916
5,05 -8,83525339832308
5,06 -1,28185829673049
5,07 -0,93786451543582
5,08 -8,93912601235282
5,09 -5,10839440632071
5,1 4,87376391648956
5,11 -4,90156004899254
5,12 -1,60496935788773
5,13 7,08106503685986
5,14 -7,3454183607108
5,15 8,26884845191093
5,16 0,861301091900701
5,17 -0,656348443895741
5,18 8,68606887696594
5,19 3,61968477890812
5,2 -7,9162453757209
5,21 3,96635672727896
5,22 -8,33769801926692
5,23 -7,0285333492926
5,24 7,0744624813434
5,25 5,63668834773669
5,26 2,80205344446099
5,27 9,37063406192262
5,28 -8,50128399138399
5,29 7,25341890810682
5,3 6,19142696084055
5,31 -1,43387865807576
5,32 0,506769162838705
5,33 -9,19868490621386
5,34 -1,17683055399769
5,35 -6,58591447239086
5,36 8,9356080251446
5,37 -4,64734303515746
5,38 8,86936812608939
5,39 0,132389864945965
5,4 6,69313954035432
5,41 9,12007843103263
5,42 -2,13690393238184
5,43 6,01735574939165
5,44 9,79741777283951
5,45 8,1687489050295
5,46 9,7761915064306
5,47 -0,137213007610855
5,48 3,1533615072972
5,49 8,17220157858553
5,5 5,07954600037986
5,51 7,17025312463299
5,52 -7,04590092275566
5,53 5,14831731801308
5,54 -3,33483595090678
5,55 9,43471292938791
5,56 3,75322151638252
5,57 3,25994788355192
5,58 -4,43468305023139
5,59 -2,18229895093585
5,6 -1,63730684278407
5,61 -0,652492358653104
5,62 -2,43658052405183
5,63 -6,19254492045964
5,64 -1,29982136716127
5,65 -3,69235742543468
5,66 4,59167078816875
5,67 -2,40628445167387
5,68 -1,74210440914245
5,69 9,24049611168005
5,7 9,33324042676633
5,71 -4,49135587294183
5,72 0,474283430014868
5,73 -1,44632098798003
5,74 6,9265452385538
5,75 -7,03632380675353
5,76 -3,8967393403392
5,77 -4,35505376865857
5,78 -6,82595112213211
5,79 8,90571357631391
5,8 5,8604968413061
5,81 -7,06073354792815
5,82 -3,78272744537458
5,83 -6,67348556996951
5,84 -7,82612709227303
5,85 9,02117383620756
5,86 -4,3879777353201
5,87 5,35845184482562
5,88 4,13615104469292
5,89 -0,611543483385603
5,9 -0,339135988773375
5,91 -4,32433985840731
5,92 9,78734001507393
5,93 1,05166707702524
5,94 -8,23030329226996
5,95 -2,65436810099258
5,96 1,55665895508447
5,97 -5,9443590119222
5,98 -2,68282288344708
5,99 3,48977519827419
6 -6,42292188313926
6,01 2,18247595810447
6,02 -8,39510859846841
6,03 3,91286539561714
6,04 8,83896115181919
6,05 -0,429098126678308
6,06 -3,30403030538188
6,07 4,40042006522437
6,08 8,22177207945929
6,09 -6,29851214415324
6,1 3,33145226972711
6,11 -1,89172471495891
6,12 0,0858990056840234
6,13 -3,3403966265453
6,14 1,95720420775805
6,15 -4,57657329485592
6,16 -6,86976491327852
6,17 -5,76309495408232
6,18 -8,36641782818661
6,19 -0,320995203368829
6,2 -9,30437969011459
6,21 9,23321894334313
6,22 3,45756450363321
6,23 8,86943907424316
6,24 -0,420367899546571
6,25 3,65758028517364
6,26 -4,27869588801577
6,27 9,42261635298962
6,28 -3,21601769571007
6,29 -0,419086660453624
6,3 1,407017238162
6,31 -7,952380328417
6,32 8,32776911478852
6,33 -0,315726320406295
6,34 5,32863545945316
6,35 -6,32197911679837
6,36 -8,66562494945974
6,37 2,30440715900827
6,38 -5,5124467217887
6,39 2,60297103440528
6,4 2,32520414158944
6,41 1,21160219945554
6,42 7,13667976536633
6,43 0,434663188846159
6,44 6,05700424688729
6,45 -8,44741127381446
6,46 5,58976113590866
6,47 3,12773664161923
6,48 9,09446286926719
6,49 6,34627000258596
6,5 -5,78460318771405
6,51 -2,68024609083321
6,52 -7,57794118373559
6,53 7,63817231992175
6,54 2,79415488838877
6,55 -5,65614082648239
6,56 8,72491145447125
6,57 -7,26454767271157
6,58 -5,66676670483629
6,59 -4,81861913335445
6,6 -6,15040223866254
6,61 -2,7266466583715
6,62 -2,38356223906556
6,63 -1,35914126008709
6,64 2,29447061768475
6,65 1,28383259814411
6,66 -0,219493829747426
6,67 -9,59837467390968
6,68 1,33096791400154
6,69 -1,72081667544358
6,7 -5,91094834539618
6,71 0,825827927713203
6,72 9,74935176770638
6,73 -0,969388862591883
6,74 7,35380065504173
6,75 -0,515981889570122
6,76 -7,9034608220232
6,77 -6,97709868521295
6,78 -7,18756517264413
6,79 -1,97295662573211
6,8 8,06781914926498
6,81 2,593567470365
6,82 -9,67184651627757
6,83 0,437712301703968
6,84 -4,63448347273957
6,85 -5,91273667100479
6,86 9,62556085531859
6,87 -9,31040320513323
6,88 6,89011879120493
6,89 0,984776285935556
6,9 -5,04689057126962
6,91 8,59892272325182
6,92 -2,02882613615544
6,93 9,30617241156575
6,94 -1,24662672693218
6,95 -4,94814920003905
6,96 -6,4048355614789
6,97 -1,50417897454657
6,98 8,1401925711614
6,99 -5,22682835125682
7 1,77208255593296
7,01 5,18813580981835
7,02 -8,2032312723823
7,03 0,815279544710778
7,04 2,25721834798214
7,05 3,38956888457274
7,06 -2,4295978585396
7,07 3,3914476788563
7,08 -9,71562833511998
7,09 -6,6898632220411
7,1 -7,75268000445919
7,11 5,7020101396842
7,12 9,92301749993256
7,13 6,30618992089582
7,14 -2,88643828261943
7,15 1,25603029097246
7,16 -3,05480014209393
7,17 7,17872545923047
7,18 -6,72465778734752
7,19 -1,79279271131046
7,2 1,65827174282552
7,21 -0,909090624614194
7,22 -6,48849346511462
7,23 -9,65380837193402
7,24 -6,67392610417396
7,25 -4,509871068648
7,26 -7,14534593613136
7,27 -9,55682064385937
7,28 -9,7227621356597
7,29 2,30194985508078
7,3 -4,11114632809122
7,31 3,60071815252337
7,32 -5,11729125637435
7,33 8,03926317861269
7,34 6,25496081833493
7,35 -7,12031666055336
7,36 0,796798742747306
7,37 -0,487126060988347
7,38 8,18049395372183
7,39 1,97594764268768
7,4 6,51686118753481
7,41 -3,76588682353771
7,42 -9,59477487001325
7,43 3,57998201324604
7,44 -1,26254370960525
7,45 -0,748900710953819
7,46 8,67590522331926
7,47 1,66498394294874
7,48 2,19261069418518
7,49 7,49734298209536
7,5 8,10665094205488
7,51 -3,58356102070937
7,52 -4,77952118719906
7,53 -0,0670147175281386
7,54 3,11489990591765
7,55 -7,31882681945284
7,56 1,67662927493296
7,57 -8,54942290044828
7,58 -2,51079435111526
7,59 -3,23291058336986
7,6 0,534914820704104
7,61 -2,87277721468023
7,62 3,11420981451599
7,63 -2,01757819020077
7,64 7,42128310605012
7,65 -1,35339815698257
7,66 0,819301396058547
7,67 -8,11624567868013
7,68 -9,94877089743911
7,69 -5,76612162206607
7,7 -9,54076845177485
7,71 7,43232591889441
7,72 8,99823150550864
7,73 1,2993945699648
7,74 1,69034610115473
7,75 -4,57584143363677
7,76 -1,31431575460095
7,77 -0,0684754783606518
7,78 1,60873533767123
7,79 4,07497460677986
7,8 -3,18577629196727
7,81 1,1896701209199
7,82 -1,74943133804455
7,83 -7,22010511775506
7,84 4,1952989130259
7,85 9,47241469261814
7,86 -1,61976066027757
7,87 4,94972346115379
7,88 -5,07563672730496
7,89 3,57378763778777
7,9 1,20305406451368
7,91 -0,653778356804409
7,92 -7,97633170987309
7,93 1,41340453709168
7,94 -8,55896717801642
7,95 -0,610361597784962
7,96 3,1199033619463
7,97 2,42280332018752
7,98 6,15869890719592
7,99 -9,90914555262269
8 8,43179789298763
8,01 6,7921509019994
8,02 1,61375484038785
8,03 -2,04126768374875
8,04 7,03811143387021
8,05 -9,32567497683953
8,06 -2,58179252621801
8,07 3,92108424283615
8,08 8,24263918131713
8,09 -2,30925866044558
8,1 3,99548893514811
8,11 -8,25489524670639
8,12 -0,158158238119519
8,13 3,41423104210488
8,14 9,95286570859741
8,15 9,3452446997842
8,16 8,87665412336432
8,17 0,334314932271054
8,18 3,78712289677333
8,19 7,94886841343197
8,2 -9,733637496705
8,21 5,86957793490476
8,22 6,95939104862483
8,23 -3,52255853522688
8,24 3,03082431342025
8,25 1,11300990502956
8,26 5,4086576287675
8,27 -2,41517303158304
8,28 -0,141638252018781
8,29 -7,6992923010603
8,3 2,30425520441693
8,31 6,26288092521153
8,32 3,77282561444343
8,33 1,51788089029392
8,34 5,64317671379222
8,35 0,0220728060333393
8,36 9,57591528053205
8,37 -9,7081636542958
8,38 -4,25821655162527
8,39 3,52097388986543
8,4 2,05420721883616
8,41 4,45915509688629
8,42 6,70708427983666
8,43 7,23362193314061
8,44 9,57829870263967
8,45 -0,542050688779938
8,46 9,50437988131511
8,47 -1,39056275197797
8,48 1,46053882849428
8,49 -7,90421187780062
8,5 0,512984278850716
8,51 -7,21441157032475
8,52 8,63568042341419
8,53 8,20983049376394
8,54 9,82449194408231
8,55 -7,43778004191712
8,56 9,83275985337457
8,57 -4,86368662438527
8,58 4,927908002831
8,59 -4,07489847115935
8,6 -4,73433260560703
8,61 9,83338050536503
8,62 -5,93727750514507
8,63 5,94193148237743
8,64 5,38648613513749
8,65 7,73260800993657
8,66 -2,02772086114982
8,67 8,32396087158656
8,68 7,77105432831266
8,69 -0,0692070974359318
8,7 9,76932941925215
8,71 8,58481777766012
8,72 -5,40746851610368
8,73 -9,7338509930921
8,74 -4,10533880540418
8,75 -4,19279259359128
8,76 9,1624936550681
8,77 9,72576911548421
8,78 -3,10085723786655
8,79 -6,42712499779981
8,8 1,60863002371445
8,81 -3,20077961925453
8,82 6,12428813992268
8,83 -2,23742637421816
8,84 1,78772342008898
8,85 -0,481333225258316
8,86 7,62720050179735
8,87 5,56299512067949
8,88 1,69338894621161
8,89 3,08095675570935
8,9 0,189312952658774
8,91 4,43960190491732
8,92 -4,6360716571268
8,93 9,81668191953408
8,94 -1,74469350452753
8,95 2,22082671347113
8,96 0,396432602031357
8,97 -9,23484720254077
8,98 -8,15286420199688
8,99 -8,1543093072969
9 -8,51432982763011
9,01 -8,81958099027145
9,02 0,838382919709378
9,03 -8,47025407406979
9,04 -7,67354129705277
9,05 1,92816650119059
9,06 8,19305694577892
9,07 8,36953141650629
9,08 2,31516929916813
9,09 4,0172845376736
9,1 -6,60027369698522
9,11 -9,89300926210965
9,12 8,23717061348128
9,13 1,35503300063081
9,14 4,31647150512621
9,15 8,4664470136475
9,16 -6,29090763455765
9,17 6,30014886907309
9,18 -5,84579193771155
9,19 -4,13218063960419
9,2 -9,89459249186078
9,21 2,40928401817069
9,22 -3,36942807462505
9,23 -5,30990242739669
9,24 9,74147994990529
9,25 -4,67027248566517
9,26 3,22088943478693
9,27 -5,22415043563775
9,28 2,01084251143543
9,29 3,67383448112469
9,3 5,41077480437736
9,31 8,39734085760887
9,32 7,87863331748109
9,33 -4,94654793056964
9,34 -7,91279517016969
9,35 0,428211013985894
9,36 5,96083746103609
9,37 4,59454221399247
9,38 -4,56388507716539
9,39 9,85955691889839
9,4 1,32560982896276
9,41 9,25766908529106
9,42 -6,75217417848863
9,43 7,67610440853802
9,44 -0,318769547305429
9,45 0,0823222147684177
9,46 6,20243129143605
9,47 4,00889534224239
9,48 -4,49978958559213
9,49 -0,211140518175037
9,5 -1,48826565197123
9,51 4,09628373295827
9,52 6,61094473517078
9,53 5,97931643760731
9,54 -8,25971681543613
9,55 -0,923613845800801
9,56 4,54984708435361
9,57 -3,85171465289393
9,58 -8,21173402397508
9,59 6,9967311886124
9,6 8,70727706640366
9,61 3,41720738141667
9,62 -3,64131109492914
9,63 8,64133481804344
9,64 8,60650973329624
9,65 -4,99761455459409
9,66 -7,77164257959074
9,67 3,18371854405092
9,68 -0,732171829199498
9,69 -6,11173950885969
9,7 -7,49439044738859
9,71 -0,885449848550117
9,72 0,864033946238473
9,73 -5,70534885660994
9,74 4,54220953143304
9,75 -9,15226157715184
9,76 -0,83854180334068
9,77 -1,04553248316307
9,78 5,00886711990874
9,79 -0,340842264863124
9,8 -0,872703777101218
9,81 9,21199409254454
9,82 9,27563914995438
9,83 -7,77801697038953
9,84 -4,83789986690408
9,85 -8,68550892858091
9,86 -8,21360387756191
9,87 -8,10068312012622
9,88 -6,68683111513352
9,89 3,01081867563111
9,9 5,87836392963229
9,91 -0,187447886069979
9,92 2,80627623796755
9,93 -1,56061626577779
9,94 -8,84772014750527
9,95 7,90840244754609
9,96 2,8989801802202
9,97 -5,39350899653207
9,98 9,06959467524178
9,99 -5,32115499271134
10 -2,14603520564085
